酒釀衝雞蛋,酒釀，紅糖（或白糖），雞蛋
家味宮保雞,雞胸肉250克 青紅椒各4根 炸花生米50克 蔥粒2茶匙（10克）薑末1茶匙（5克）蒜末1茶匙（5克）花椒15粒干紅辣椒6根調料：鹽1茶匙（5克）料酒1/2茶匙（3克）干淀粉2茶匙（10克）米醋2湯匙（30ml）醬油1湯匙（15ml）白糖2茶匙（10克）清水2湯匙（30ml）水澱粉2湯匙（30ml）香油1湯匙（15ml）
回鍋肉蓋澆飯,五花肉，兩顆八角，蔥結一個，生薑一小塊，料酒少許配料有：青蒜，辣椒，蔥花，生薑末，豆瓣醬，豆豉，醬油，醋
紅棗蒸塌沙魚,塌沙魚2條，紅棗適量，姜適量，蔥適量
羊肉丸子蘿蔔粉絲湯,材料：羊肉200克、東北大紅蘿蔔1/4個、雞蛋1個、蔥、薑末適量、料酒、生抽、胡椒粉、鹽適量
肉末燉魚,魚2條，豬肉，蔥，姜
抹茶芝士蛋糕,a，creamcheese150克/butter100g（我用了80克）牛奶150gb，抹茶粉6g/玉米粉20g/低粉15gc，蛋黃40g（約2個）/細砂糖35gd，蛋白120（約3個）/細砂糖70g
果仁黃油酥球,麵粉100克，黃油50克，砂糖50克，乾果碎40克事先烤香
意式橄欖香烤鱒魚,1）鱒魚SteelheadTrout2條，洗淨，去鱗，去內臟2）1大匙橄欖油3）2大匙黃油4）綠橄欖適量
皮蛋瘦肉蔬菜粥,皮蛋，白粥，瘦肉，上海青，鹽，雞精，白胡椒
焦糖奶油蛋白甜餅,精白砂糖225克，玉米澱粉2茶匙，塔塔粉1撮，蛋白4個（室溫下），鹽適量，香草精4滴，白酒醋1茶匙，香蕉1或2根，太妃糖或焦糖漿150克，高脂厚奶油300毫升，打稠，磨碎的巧克力適量，作裝飾
酸辣筆筒魷魚,淨魷魚500克，豬瘦肉50克，玉蘭片、酸泡菜、青蒜各25克，紅乾椒15克，醬油、黃醋、雞湯各20克，精鹽、雞精各2克，胡椒粉0.5克，豬油850克，濕澱粉35克。
蘋果醬烤鴨,整鴨1只1830克，鹽和胡椒適量，禽類調味料1克，黃油7克，切塊洋蔥30克，西芹5根，切塊，去皮去核切塊蘋果375克，玉米麵包糠255克，橄欖油15毫升
蟲草鴨塊湯,用料蟲草20克，肥鴨1只(約750克)，料酒、味精、蔥、姜、精鹽及胡椒粉各適量。
雙蔬肉捲,主料：白菜葉，菠菜葉，豬肉末，海帶絲，火腿，雞蛋液，蛋清。鹽，料酒，姜，蔥，雞油，雞精，澱粉，生抽，高湯。
牛奶白菜, 材料主料：小白菜(3顆)、瘦肉(3兩)、純牛奶(1盒)、蔥(1根)、姜(2片)、蒜(3瓣)調料：油(2湯匙)、鹽(1/2湯匙)、醬油(1/3湯匙)、生粉(1湯匙)、雞精(1/5湯匙)
DIY火腿土豆餅,土豆，雞蛋，火腿，蔥，鹽，胡椒粉，麵粉
法式青檸雞----舌尖的盛宴,主料：蒜一頭青檸檬一個雞胸肉600g製作輔料：大藏芥末15g蜂蜜15毫升生抽30毫升油30毫升製作調料：青檸一個水200毫升白葡萄酒15毫升蜂蜜15毫升生抽15毫升白胡椒粉1克鹽1克青檸檬汁5毫升.
木耳雞蛋湯,雞蛋，木耳，油，蔥花，鹽，香菜
烏龍吐珠,浸發好的原條海參500克，已製好的蝦丸250克，瘦肉150克，蝦米25克，上湯250克，西蘭花150克，薑片2片，蔥條2條，精鹽5克，味精5克，紹酒15克，濕粉10克，生油50克。
魚丸扒菜膽,淨魚肉250克，菜心12棵，姜25克，蔥白欖25克，鹽2／3茶匙，味精1／2茶匙，上湯200克，蛋清1個，水澱粉2茶匙。
牛油銀魚,淡黃色銀魚伴有陣陣牛油香，外鬆脆而內軟滑，為補鈣妙食。分量：4～6位用
剁椒肉末四季豆,四季豆1盤，食鹽適量，炒香的肉末1匙，剁椒半匙，蒜蓉半匙
叉醬香腸,李錦記叉燒醬，香腸，牛油，糖
酸奶紅龍果冰奶昔,主料：紅龍果1個配料：酸奶350克，煉乳2大勺，淡奶油適量
筍乾燒肉,五花肉500克乾筍35克香蔥2棵生薑1小塊醬油2小匙料酒2小匙白糖1小匙
熏肉炒韭薹,熏肉，蒜薹，生薑末，醬油，辣椒，鹽，糖
幾分鐘做好——西紅柿雞蛋揪片,面4兩，雞蛋2個，西紅柿2個，醬油少許，鹽少許，油適量，其他調料（按個人口味適當加一些，夠兩人吃的）
法式酒釀雞,青蔥12根或小洋蔥12個，蒜味橄欖油1½湯匙，瘦培根55克，橫切成細條，栗子或洋菇12個，雞肉4塊，如雞胸，每塊約170克，去皮，歐芹幾枝，把莖搗爛，新鮮百里香幾枝，月桂葉1片，雞湯150毫升，最好是自製的，濃郁紅葡萄酒（如勃艮第）360毫升，胡蘿蔔300克，切成大塊，砂糖一撮，玉米粉1湯匙，鹽和胡椒，切碎的歐芹，裝飾用
虎皮肘子,帶皮肘子2個，醬油，料酒，白糖，大蔥，姜，花椒，八角。
黃花菜板栗煲雞湯,黃花菜雞肉板栗枸杞姜鹽
香菇板栗蒸土雞,黃油土雞，香菇，栗子，西蘭花，姜，料酒，蠔油，辣椒油，生抽，鹽
清煎小牛排,主料：牛排1750克，輔料：土豆（黃皮）1000克，胡蘿蔔250克，菜花250克，調料：鹽10克，胡椒粉5克，植物油50克，辣醬油25克，黃油100克
茄汁蛋包飯,半個杏鮑菇、半個香腸、半個麻椒、一袋番茄醬、一個雞蛋、少許飯
米醬燜雞翅,原料：雞中翅6只，金錢菇25朵，大蔥半根，蒜頭1只，姜4片，鹽2小匙，米醬豆腐乳40ml，白​​糖1小匙，啤酒適量
亞三素肉鬆,幹冬菇腳100克自製東炎醬150毫克亞三花1支咖哩葉5串鹽巴1/2匙糖1湯匙半雞精1/2匙
優雅藍莓牛奶麵包,總重900g，每個300g，可做3個。 【材料配方】高筋麵粉：…………400g(80%)低筋麵粉：…………100g(20%)砂糖：…………50g(10%)鹽：…………8g(1.6 %)幹酵母：…………5g(1%)牛奶：…………280g(56%)雞蛋：…………50g(10%)橄欖油：…………20g(4%)【餡料】藍莓醬：…………適量藍莓顆粒：…………適量表面裝飾：低筋麵粉：…………適量
藤椒鮮腰片,豬腰500克，黃瓜150克，小油菜120克。調料藤椒油35克，鹽、雞精、白糖各5克，蠔油15克，料酒25克，雞蛋清30克，鮮湯350克，生粉25克，蔥薑油35克，蔥片、薑片、蒜片各15克，紅椒絲、蔥絲各3克，色拉油10克，濕澱粉5克。
香煎迷迭香雞排,帶骨雞腿上肉一塊，白酒，迷迭香一小枝，意大利混合香草（乾草），茄汁醬油，地中海蒜香香草（乾草），橄欖油，鹽，砂糖，胡椒粉，6號雞公頭意大利面，番茄，新鮮檸檬羅勒適量，意大利甜羅勒適量
雞蛋豆角鍋貼,雞蛋兩個，嫩豇豆，香菇碎，鹽，生抽，香油，花椒粉，油，水
蔥香火腿腸肉鬆蛋捲,低粉80克，雞蛋3只，糖粉30克，牛奶60克，玉米油40克，鹽0.25小匙，脆皮火腿腸1根，蔥數根，沙拉醬適量，肉鬆適量
冬瓜燉排骨,排骨400克、冬瓜400克、姜10克、八角2個、鹽、胡椒粉、味精各適量
小牛肉餅,主料：小牛肉餡60g，圓蔥碎5g，西芹碎5g，雞蛋2個，麵粉50g，麵包渣50g，牛奶適量調料：鹽2g，胡椒粉0.3g，橄欖油15g
簡易火雞肉雜碎湯,橄欖油1.5茶匙，火雞肉500克，切碎，洋蔥1個，切塊，水450毫升，意大利番茄辣醬1罐700克，雲豆1罐（400克）-瀝乾，洗淨，搗碎，蒜末1湯匙，辣椒粉2湯匙，幹牛至半茶匙，辣椒半茶匙，孜然半茶匙，鹽半茶匙，鮮蘑黑胡椒粉半茶匙
香醉鵝肝,主料：鵝肝醬90g輔料：油豆皮適量，花雕酒150ml，高粱酒60ml，清水120ml，凍粉1.5g，冰糖5g，蠔油ml，香醋15ml，美極鮮5ml，白砂糖2g
鍋巴湯,嫩蝦85克，無皮無骨雞肉85克，切成大塊，雞蛋1個，玉米澱粉30克，蔬菜油950毫升，煎肉用，雞湯710毫升，蘑菇30克，切碎，菱角20克，切碎，竹筍15克，切成丁，新鮮四季豆35克，切成2.5厘米長的段，鹽3克，雪梨酒15毫升，生白米130克
培根海苔蛋糕卷,雞蛋5個，低筋麵粉85克，白砂糖65克，牛奶60克，玉米油40克，白醋5滳培根適量，海苔少許
焦糖奶酪磅蛋糕,黃油100克，卡夫奶油奶酪100克，細砂糖15克，蛋黃3個，蛋白3個，細砂糖25克，低筋麵粉180克，泡打粉1/4小勺，焦糖醬30克左右
香蕉奶酪蛋糕,低粉140克，黃油75克，香蕉一根，三角奶酪一塊，雞蛋一個，白糖50克，泡打粉4克
香煎豬排,豬排3片，蔥段10公克，薑片10公克，蒜仁10公克，地瓜粉適量，醬油1又1/2大匙，醬油膏1/2大匙，細砂糖1小匙，米酒1大匙，烏醋少許，胡椒粉少許，五香粉少許
牛肉空心菜,牛肉，空心菜，蒜頭
干鍋茶樹菇,鮮茶樹菇，五花肉，乾辣椒，花椒，蔥，姜
鮮奶茶碗蒸,鮮奶250cc，雞高湯50cc，蛋2顆，鹽少許，草蝦2只，香菇2朵
醬汁豬蹄,主料：豬蹄，姜，蒜，蔥，四川辣豆瓣醬，香料(八角，茴香，山奈，桂皮，丁香，草果，香葉)，豆瓣醬，乾辣椒，花椒(根據個人口味添加，也可不加)，醬油(老抽)，白糖，鹽，味精，啤酒(我做這道菜買了7隻豬蹄，用了一瓶550ML的啤酒)，水澱粉，食用油
可可棋格草莓慕斯蛋糕,吉利丁片，130g30g，4片，草莓味酸奶200克，草莓400克，鮮奶油285克，牛奶130克，白砂糖30克，雞蛋4個，低粉80克，糖20克，熱水75克，色拉油60克，可可粉20克，鹽1克，白醋幾滴
原味水果芝士蛋糕,奶油芝士蛋糕也是第一次做，我是把剩下的奶油用完跟用了250G芝士做了兩個六寸，，所以詳細的分量都不是很清楚，因為上次看某貼說，，這個比例不是很重要的，看個人口味.所以就沒稱了.，戚風蛋糕兩片，芝士125G，奶油250ML，吉利丁片1.5片(大概15G)，糖粉40G
牛角包,皮的材料：，高筋麵粉150克，低筋麵粉20克，糖30克，鹽3.5克，幹酵母6克，牛奶100毫升，水30毫升，雞蛋1個，無鹽黃油20克，另外：，酥油或者馬其林油
奶油燉翡翠娃娃菜,翡翠娃娃菜4株，蒜仁2粒，奶油1大匙，動物性鮮奶油100㏄，鹽1/4小匙，高湯500㏄
臘鴨腿煲仔飯,米1碗，臘鴨腿1只，西蘭花，胡蘿蔔
韭花香乾炒臘肉,香乾6塊，臘肉100g，韭花100g，青尖椒1個，紅尖椒1個，芹菜1根，紅辣椒2個，蒜3瓣，姜2片，植物油2大勺，鹽適量
可愛的奶香蘇打小餅乾,麵粉300g、奶粉50克、牛奶250克、酵母粉5g、小蘇打5g、黃油40g、糖50
紅糟鰻魚羹,鰻魚600公克，紅糟醬3大匙，大白菜400公克，青蔥2支，蒜末5公克，薑末5公克，高湯1000㏄，太白粉水適量，香菜適量，鹽1/2小匙，糖1小匙，烏醋1大匙，胡椒粉少許，香油少許，蒜末5公克，薑末5公克，醬油1/2小匙，糖1/2小匙，米酒1小匙
皮蛋豆腐,豆腐，皮蛋，香菜，生抽，香油
生炒鯪魚球,主料鯪魚肉180克，芥蘭250克。配料蒜蓉5克，蔥段8克，胡蘿蔔片5克，細蔥花5克。調料鹽5克，味精6克，水澱粉8克，胡椒粉1克，蠔油10克，砂糖5克，色拉油1000克。
西湖牛肉羹【蝶兒美食】,主料：牛肉，雞蛋清，高湯，配料：鹽，白糖，干淀粉，蔥末，料酒，胡椒粉
補血養顏一一蟲草莖豬肝瘦肉水,豬瘦肉300克，豬肝100克，蟲草莖20克，江瑤柱15粒，紅棗8個，姜3片，雞蛋1只
海鮮開拿批,材料澳帶、草蝦、煙熏桂魚、煙熏三文魚、油浸金槍魚(聽裝)、吐司麵包、蛋黃醬、混合生菜
紅燒甲魚,活甲魚900克，水發香菇40克，去皮蒜瓣50克，蔥結、薑片各15克，紹酒，醬油各40克，精鹽2克，味精0.5克，胡椒粉1克，濕澱粉10克，肉湯600克，豬油75克，香油10克。
蒜瓣雞塊,1：雞腿9個（Chickendrumsticks），洗淨斬塊備用；2：油1.5大匙，蒜一頭去皮切片，蔥1條洗淨切段，薑片3-5片；3：廚用蒸酒1大匙，萬字牌生抽醬油2大匙，老抽醬油1大匙，鎮江香醋1茶匙，糖1.5茶匙，鹽1/2茶匙，水1杯；4：幹黑木耳一把泡軟洗淨備用。注：1大匙=15毫升=1​​Tablespoon，1茶匙=5毫升=1​​Teaspoon，1杯=240毫升。
香芹炒臘腸,香芹，臘腸，辣椒，蒜
枸杞酒釀鵪鶉蛋,酒釀，鵪鶉蛋3個，枸杞20克20克
香芹炒脆肉脘魚,脆肉脘魚肉，芹菜，姜適量，蔥適量，韭黃適量，肥豬肉適量，蛋清適量，鹽適量，料酒適量，雞精適量
培根芝士披薩,高筋麵粉、黃油、芝士、糖、鹽、甜辣醬、​​色拉醬、培根、牛奶、幹酵母
砂鍋酡寶,主料：豆腐3方塊瀝乾水份配料：荸薺末1湯匙素碎末1湯匙冬菜末1湯匙薑末1湯匙澱粉1湯匙麵粉1湯匙奶粉1湯匙，調料：醬油膏1湯匙，糖1小匙，胡椒粉少許，地瓜粉1湯匙奶粉1湯匙，鹽1小匙，香油1小匙
土司肉丸,去邊土司6片，絞肉80公克，薑末1茶匙，蔥末1/2茶匙，全蛋1個，太白粉1茶匙，炸油適量，鹽1/2茶匙，糖1/4茶匙，胡椒粉1/4茶匙，香油1/2茶匙，胡椒鹽少許
沙茶金菇牛肉煲,A.牛肉400公克，金針菇80公克，紅蘿蔔片60公克，冬粉60公克，B.蒜末30公克，薑末15公克，鹽1/2小匙，糖1小匙，香菇精1/2小匙，沙茶醬2大匙，米酒1大匙，水200㏄，醬油1小匙，香油2小匙，米酒1大匙，水1大匙，太白粉少許
香辣滷雞心,雞心600公克，蠔油辣味滷汁1鍋
鍋巴香酥雞塊,雞肉300克，鍋巴150克，鹽，料酒，薑片，蔥段，乾辣椒，花椒，花椒油，植物油，雞精，芝麻油
月見沾醬,日本山藥50g，蛋黃1顆，鹽1/4匙，海苔絲少許
金黃咖哩雞丁,土豆，胡蘿蔔，雞胸肉，毛豆
金磚,高粉160克，老面50克，牛奶65克，雞蛋1個（約50克），鹽3克，糖20克，奶粉12克，老面50克，酵母3克，黃油15克+65克，奶酪餡：奶油奶酪70克，糖10克
剩下的該怎麼辦——韓式火鍋面。 ,紫菜湯包1袋，濃湯寶1塊（盡量選用雞湯味道的），干貝（沒有可以不添加），金針菇2小把，乾香菇5朵，油菜2根，鮮蝦2只，羊肉片6片，麵條適量，蠔油1勺，韓國辣醬1勺，生抽1勺，魚露少許。
螃蟹蘿蔔豬骨湯,螃蟹和白蘿蔔都是性寒之物，又是天然的滋補品，螃蟹有舒筋益氣、理胃消食、通經絡、散諸熱、散淤血之功，白蘿蔔則可防治高脂血症、脂肪肝、冠心病、動脈硬化等疾病。炎熱的夏天，在高溫酷暑下工作，極易誘發中暑現象，除了多喝水和休息外，還要通過均衡的飲食，來調節因中暑導致的乏力、口渴等症狀。不妨來一碗來清熱的螃蟹蘿蔔豬骨湯，來補充體力，並趕走暑氣吧！調味料：料酒、白胡椒粉、鹽適量豬脊骨100克白蘿蔔1根姜2片
黯然銷魂叉燒飯,豬肉500g，大蒜3瓣，姜1塊，白酒15ml，生抽15ml，老抽5ml，蠔油10ml，蜂蜜30ml，白​​糖10g，雞精少許，鹽少許
玉米蘿蔔排骨湯,排骨300克胡蘿蔔300克玉米2根生薑1小塊精鹽1小匙味精0.5小匙
青椒藕丁,青椒，蓮藕，火腿腸，蒜，油，鹽，生抽
香草火雞肉丸面,橄欖油2湯匙，中等大小的洋蔥1個，切碎，大蒜3瓣，剁碎，硬白麵包2片，弄成麵包屑，低脂（1%）牛奶60毫升，瘦火雞脯肉454克，剁碎，荷蘭芹1根，切碎，大雞蛋1只，帕爾馬（parmesan）乾酪粉40克，幹醋栗（黑或紅加侖子）30克，鼠尾草3/ 4茶匙，鹽1/2茶匙，麵粉2湯匙，碎番茄784克，橙皮（每片7×1厘米）3片，全麥螺旋面224克
客家蔥撈肚片,生豬肚片150克，香菜150克，花生仁100克，炸芋絲10克。調料色拉油800克，鹽8克，味精5克，香油15克，沙薑米30克，濕澱粉30克，蔥白100克。
香蔥腸仔梅花包,湯種，高粉20克，牛奶80克，麵團，高粉250克，牛奶120克，幹酵母4克，細砂糖30克，鹽3克，雞蛋25克，黃油30克，上面做好的湯種，餡料：芝麻，蔥花餡適量，（蔥花+蛋液+少許鹽調和而成）。
多味道壽司,米，白醋，白糖，鹽，火腿，大根，黃瓜，金槍魚罐頭，沙拉醬，雞蛋，生菜，烤紫菜
芝士栗子蒙布朗,奶油奶酪60克，栗子泥30克，黃油30克，餅乾1盒，糖粉15克，巧克力醬少許
蜂蜜香蕉慕斯,蜂蜜15g，香蕉泥100g，打發淡奶油100g，牛奶50g，吉利丁4g，蛋黃1個，檸檬汁4g
攤雞蛋皮,雞蛋2顆，生粉4/1湯匙，冷清水1湯匙，食用油少許
松茸枸杞母雞湯,母雞1只，松茸五片左右，香菇兩個，枸杞適量，薑片，鹽
奶香麵包,高粉250克，奶粉10克，白糖50克，酵母粉3克，鹽2克，蛋液20克，清水145克，黃油20克
椰奶香芋羹,小芋頭三個，麥片兩勺，椰子粉，奶酪一片，淡奶油，杏仁碎，葡萄乾，蜂蜜
豉汁排骨,排骨，李錦記蒜蓉豆豉醬，鹽，油，糖，豆豉，生粉，蒜
荷葉冬瓜老鴨湯,冬瓜1斤，荷葉小半片，老鴨1/4只，炒薏米炒扁豆各15克，江珧柱3-5粒，陳腎1只，陳皮1小塊
起酥螺,酥皮材料：352公克，高筋麵粉352公克，低筋麵粉88公克，冰水264公克，細砂糖15公克，鹽3公克，白醋5公克，奶油44公克，其他材料：適量，水少許
花生麵筋,熟花生150公克，麵筋100公克，乾香菇2朵，油2大匙，水500㏄，醬油80㏄，糖1/2小匙，高鮮味精少許
臘魚蒸臘腸,臘魚，廣式臘腸，薑片，食用油少許，料酒少許
香椰銀耳燉排骨,椰子1個，白木耳115g，排骨600g，蓮子75g，鹽2小匙
泰式雞亦尖,紅椒，雞翅，甜辣雞醬
鮮蝦肉餛飩,豬肉末，活明蝦，餛飩皮，蔥薑末，料酒，鹽，澱粉
小牛腸,材料小牛腸、培根、青椒、紅椒、黃椒、新鮮茴香、牛奶、黃油、鹽、胡椒
泡椒烏魚仔,泡椒100克，烏魚仔(去皮冰凍)100克，蒜茸辣醬、蔥、姜、蒜、糖、酒釀、澱粉、料酒、花生油、鹽各適量。
椰汁奶糊,椰汁100毫升鮮奶200毫升清水300毫升糖200g栗粉5湯匙紅棗4粒
超薄底比薩,麵粉170克，鹽3/4茶匙，熱水120毫升+2湯匙，酵素(伊士)3/4茶匙，中型蕃茄1個，意大利火腿6片，中個白磨菇8棵切片，磨碎的意大利芝士1/3包，蕃茄醬4湯匙，意大利混合香草1湯匙
箱翅魚脯,鮮魚肉、海虎翅、冬瓜、雞脯肉、白肉、鹽、味精、白糖、白胡椒粉、澱粉、蠔油各適量
什錦參茸羹,用料鹿茸片1.5克，水發海參20克，大蝦10克，水髮乾貝5克，火腿5克，水發口蘑、冬筍、料酒、味精、精鹽、濕澱粉、雞油、湯各適量。
五分鐘輕鬆做早餐三明治,土司三片，雞蛋一個，火腿４小片，蒙牛締芝特早餐奶酪一片
油條糯米糰,糯米，油條，肉鬆，海苔，白糖
番茄松鼠魚,黃魚750克，蔥頭、水發冬菇、水發玉蘭片、胡蘿蔔、熟青豆各25克，番茄醬100克，清湯150毫升，紹酒、精鹽、白糖、醋、花生油、芝麻油、澱粉、雞蛋黃、精麵粉各少許。
抹茶餅乾,奶油225克，糖粉225克，蛋1個，泡打粉14小匙，低筋麵粉400克，蘇打粉1克，抹茶粉25克，南瓜子30克
泰式生牛肉拌飯,新鮮牛肉150公克，洋蔥50公克，辣椒1條，蒜頭1瓣，生菜葉少許，白飯2碗，九層塔少許，魚露2大匙，檸檬汁1大匙，香油1大匙，糖1小匙
秋日靚湯,白蘿蔔1個，小銀魚6兩，胡蘿蔔，姜，蔥
羊肉瓤冬瓜,羊肉餡，冬瓜，蔥，姜，醬油，鹽，雞精，料酒，牙籤2支
香糟雞的做法,仔雞1只(約1500克)。調料：香糟200克，黃酒200克，精鹽15克，白糖25克，蔥段20克，薑片20克，雞湯20克。
焦糖牛奶布丁,純牛奶250ML，雞蛋2個，白砂糖60G，冷水25G，熱水20G，白砂糖30G，香草精2滴
皮蛋小炒,皮蛋，平菇，胡蘿蔔，鹽
魷魚瘦肉湯,魷魚，瘦肉，鹽，味精
咖哩牛排,黃油，豬肉，洋蔥，蔬​​菜，咖哩
川西肉豆腐,主料：豬肥瘦肉，香菇，冬筍，雞蛋，香辣醬，糖，花椒，鹽，香蔥，姜，味精，青筍，黃花，木耳，苕粉絲，泡椒，蒜末，豆粉等。
雞汁浸鮰魚,長江鮰魚200克，基圍蝦10個，西蘭花100克，老母雞湯250克，鹽、色拉油各適量
培根卷,甜麵團：高精粉500克，細糖50克，鹽5克，酵母5克，雞蛋一枚，奶粉10克，奶油40克，水250克。
大蒜煲鴨,主料：鴨1500克，調料：白皮大蒜50克，大蔥5克，姜4克，味精3克，料酒3克
切片烤年糕,年糕1條，醬油2勺，油1勺，蔥花一小把，火​​腿末一小勺，芝麻適量，水小半碗，鹽適量，糖適量（提鮮）
香脆蔥油餅,中筋麵粉（其中230克用做麵團，另20克左右操作時用）250克，溫水110克，蔥（綠色部分）20克，植物油（豬油更佳）50克，鹽適量
筍乾臘肉煲,筍乾，臘肉(自家的臘肉特別香)，姜，蒜，辣椒乾，胡椒粉，料酒，白糖，生抽，醋，鹽
果味排骨,主料：小排骨洋蔥，青紅椒，雞蛋，蒜茸鹽，糖，醋，冰梅醬，番茄汁，澱粉，料酒
鹹魚蛋炒飯,半鍋剩飯，2個雞蛋（打散），冰凍混合蔬菜1碗，蔥花
黑森林葡式蛋塔,葡式蛋塔塔皮10張，苦甜巧克力碎屑適量，罐頭醃漬紅櫻桃5顆，內餡材料：10公克，鮮奶120公克，細砂糖60公克，蛋黃60公克，可可粉10公克，動物性奶油120公克
豆漿蒸蛋,原味豆漿250公克，高湯50公克，雞蛋2顆，魚板2片，蟹肉丸2個，蝦仁2只，香菜葉2片，鹽少許，雞粉少許，太白粉水1小匙，米酒1/4小匙
肉鬆雞蛋餅,麵粉1杯，肉鬆少許，雞蛋1個，小蔥1截，鹽少許
米紙南乳盒,蓮籽，鹹蛋黃，白肉粒，威化紙，南乳汁，紅糖，熟芝麻，上湯
紅白豆腐,盒裝嫩豆腐1盒，鴨血1塊，豬絞肉100公克，薑末1大匙，蒜末1大匙，蔥花2大匙，辣椒醬2大匙，醬油1大匙，糖1小匙，太白粉適量，香油1大匙，花椒粉1小匙
臘腸卷,普通蒸饅頭髮的面，廣式臘腸4根。
熏肝炒醬鴨,醬鴨半只，熏肝一塊，大椒二個，蔥花，薑未，雞精，鹽少許
筍乾雞蛋餡餅,麵粉300克，筍乾50克，雞蛋兩個，酵母5克，木耳5克，蔥薑末10克，鹽少許，
簡易版鹹肉菜飯,大米，小米，鹹肉，小青菜，黃酒，麻油，鹽
香芒牛柳盞,芒果4個，牛里脊300克，青紅椒各50克。調料老抽5克，味精10克，干淀粉50克，雞蛋2個，香油5克，色拉油500克。
椰絲蛋撻,蛋撻底：千層酥皮1張蛋撻水：蛋黃1只，糖2小勺(TSP)，牛奶2大勺(TBSP)，澱粉2小勺，椰絲適量.
酥鬆性小西餅,無鹽奶油180公克，糖粉80公克，全蛋50公克，低筋麵粉220公克，奶粉20公克
芹菜炒鯛魚片,鯛魚片300公克，芹菜250公克，木耳絲15公克，紅蘿蔔絲15公克，辣椒絲10公克，薑末5公克，蒜末10公克，鹽1/2小匙，糖少許，雞粉1/2小匙，米酒1/2大匙，烏醋少許，白胡椒粉少許，米酒1大匙，鹽少許，雞粉少許
芝士可樂餅,馬鈴薯（大約4顆小的，200克）洋蔥（大約1顆，100克），芝士3片，麵粉，雞蛋1顆，麵包粉，鹽少許，白胡椒粉少許
徽州桃脂燒肉,桃脂(即桃樹的樹脂，安徽人一直有用它燒製菜餚的傳統，取其清香潤滑的口感)250克，豬五花肉500克，蔥、薑各適量調味料白糖、醬油、精鹽各適量
蔓越莓奶油小蛋糕,黃油80克，糖粉50克，低粉120克，泡打粉1克，鹽少許，雞蛋一個，牛奶50克，蔓越莓幹30克
奶油焗蟹肉,蟹腿肉1盒，洋蔥1/2顆，奶油適量，美乃滋適量，面煳適量，起士絲少許
