,V2.y,V1.y,V1,V2.x
141,蛋_豆_奶_豆製品類,H,奶油起司,623
142,海菜菇蕈中藥,I,金針菇,620
143,調味料,K,沙茶醬,619
144,雞肉,C,全雞,611
145,蛋_豆_奶_豆製品類,H,紅豆,607
146,蔬菜類,G,小白菜,606
147,牛肉,A,﻿牛肉,605
148,調味料,K,小蘇打粉,603
149,蛋_豆_奶_豆製品類,H,核桃,603
150,調味料,K,植物油,602
151,蔬菜類,G,芒果,590
152,調味料,K,香草,583
153,調味料,K,月桂葉,570
154,蔬菜類,G,豌豆仁,570
155,海菜菇蕈中藥,I,黑木耳,569
156,蛋_豆_奶_豆製品類,H,椰奶,568
157,蔬菜類,G,茄子,557
158,蛋_豆_奶_豆製品類,H,花生,551
159,蔬菜類,G,葡萄乾,546
160,調味料,K,二砂糖,544
161,調味料,K,滷汁,544
162,調味料,K,肉桂粉,541
163,海菜菇蕈中藥,I,木耳,540
164,澱粉,J,糯米,539
165,澱粉,J,冬粉,535
166,海鮮類,F,鮭魚,534
167,澱粉,J,糯米粉,528
168,其他,L,泡菜,527
169,豬肉,B,豬肉,526
170,海鮮類,F,透抽,522
171,蛋_豆_奶_豆製品類,H,起司粉,517
172,雞肉,C,雞肉,515
173,蔬菜類,G,綠豆芽,513
174,蔬菜類,G,筍,508
175,蔬菜類,G,大白菜,508
176,調味料,K,沙拉醬,508
177,蔬菜類,G,菜豆,505
178,調味料,K,辣油,505
179,蔬菜類,G,菠菜,500
180,調味料,K,蒜苗,499
181,蔬菜類,G,青江菜,493
182,蔬菜類,G,奇異果,491
183,海鮮類,F,鮪魚,485
184,海鮮類,F,魚肉,481
185,調味料,K,芥末,479
186,調味料,K,素蠔油,479
187,調味料,K,果醬,475
188,蛋_豆_奶_豆製品類,H,豆干,473
189,豬肉,B,香腸,471
190,蔬菜類,G,苦瓜,460
191,其他,L,咖啡,458
192,蛋_豆_奶_豆製品類,H,豆豉,456
193,調味料,K,葡萄酒,452
194,蔬菜類,G,玉米筍,450
195,調味料,K,辣椒乾,444
196,蛋_豆_奶_豆製品類,H,板豆腐,431
197,海鮮類,F,牡蠣,429
198,蛋_豆_奶_豆製品類,H,鹹鴨蛋,425
199,蔬菜類,G,柳橙,416
200,澱粉,J,麥芽,415
201,調味料,K,麥芽,415
202,調味料,K,迷迭香,404
203,調味料,K,迷迭香,404
204,蔬菜類,G,山藥,403
205,雞肉,C,雞翅,386
206,澱粉,J,鬆餅粉,385
207,豬肉,B,豬里肌,383
208,調味料,K,抹茶粉,380
209,其他,L,生菜沙拉,379
210,蔬菜類,G,檸檬皮,373
211,調味料,K,檸檬皮,373
212,調味料,K,醬汁,372
213,牛肉,A,牛肉片,371
214,調味料,K,麝香草,371
215,蔬菜類,G,蔓越莓,365
216,調味料,K,芝麻醬,359
217,澱粉,J,在來米粉,343
218,海鮮類,F,鯛魚,342
219,調味料,K,肉桂,342
220,調味料,K,薄荷葉,340
221,調味料,K,果糖,339
222,蛋_豆_奶_豆製品類,H,奶水,336
223,其他,L,紅茶,336
224,蛋_豆_奶_豆製品類,H,豆漿,333
225,蔬菜類,G,絲瓜,332
226,蔬菜類,G,番茄,332
227,澱粉,J,麵糰,328
228,調味料,K,肉燥,325
229,海鮮類,F,魷魚,324
230,豬肉,B,豬梅花肉,321
231,蛋_豆_奶_豆製品類,H,腐皮,319
232,海菜菇蕈中藥,I,白菇,316
233,調味料,K,七味粉,314
234,蔬菜類,G,藍莓,309
235,調味料,K,蘭姆酒,308
236,蛋_豆_奶_豆製品類,H,水煮蛋,305
237,調味料,K,和風醬,304
238,澱粉,J,米粉,303
239,調味料,K,醬油露,299
240,蛋_豆_奶_豆製品類,H,帕馬森起司,296
241,蔬菜類,G,荸薺,295
242,澱粉,J,麵包,288
243,澱粉,J,燕麥,287
244,調味料,K,香料,286
245,蛋_豆_奶_豆製品類,H,豆腐乳,281
246,其他,L,蒟蒻,273
247,海菜菇蕈中藥,I,當歸藥包,272
248,蛋_豆_奶_豆製品類,H,皮蛋,270
249,其他,L,柳橙汁,268
250,蛋_豆_奶_豆製品類,H,栗子,268
251,蛋_豆_奶_豆製品類,H,堅果,267
252,蔬菜類,G,水果,265
253,其他,L,烹大師,265
254,其他,L,蔬菜,261
255,澱粉,J,拉麵,258
256,澱粉,J,水餃皮,252
257,蛋_豆_奶_豆製品類,H,松子仁,249
258,調味料,K,甘草,247
259,牛肉,A,牛絞肉,245
260,蔬菜類,G,酸菜,237
261,海菜菇蕈中藥,I,牛蒡,236
262,調味料,K,豬肉醬,232
263,調味料,K,花生醬,231
264,澱粉,J,消化餅乾,230
265,海鮮類,F,鰹魚,230
266,調味料,K,烤肉醬,228
267,調味料,K,紅糟,227
268,其他,L,冰淇淋,226
269,調味料,K,鮮味炒手,225
270,調味料,K,小茴香,225
271,調味料,K,甜麵醬,225
272,豬肉,B,熱狗,223
273,澱粉,J,全麥麵粉,222
274,海鮮類,F,蟹肉棒,221
275,調味料,K,薄鹽醬,221
276,豬肉,B,肉鬆,219
277,澱粉,J,披薩,219
278,其他,L,披薩,219
279,其他,L,菜脯,218
280,蔬菜類,G,蘿蔓萵苣,217
281,澱粉,J,梗米,214
282,蛋_豆_奶_豆製品類,H,花生粉,210
283,蔬菜類,G,毛豆,209
284,澱粉,J,厚片吐司,208
285,澱粉,J,麵線,207
286,調味料,K,香茅,205
287,蔬菜類,G,冬瓜,202
288,蔬菜類,G,冬瓜,202
289,澱粉,J,酥皮,200
290,豬肉,B,豬肋排,200
291,其他,L,火鍋料,200
292,蔬菜類,G,櫻桃,199
293,海鮮類,F,魚高湯,197
294,澱粉,J,油麵,197
295,蔬菜類,G,筍乾,195
296,調味料,K,香草粉,194
297,蔬菜類,G,秋葵,194
298,蔬菜類,G,秋葵,194
299,澱粉,J,麵糊,192
300,調味料,K,香蒜粉,192
301,蔬菜類,G,筊白筍,192
302,澱粉,J,烏龍麵,191
303,蔬菜類,G,黃瓜,190
304,其他,L,蛋糕,189
305,調味料,K,清酒,188
306,海鮮類,F,鱈魚,187
307,海鮮類,F,小卷,187
308,調味料,K,橄欖,187
309,調味料,K,XO醬,186
310,調味料,K,生抽,186
311,蔬菜類,G,空心菜,185
312,蔬菜類,G,百香果,184
313,調味料,K,米油,182
314,海鮮類,F,吻仔魚,181
315,蔬菜類,G,桃子,181
316,海菜菇蕈中藥,I,黃耆,180
317,調味料,K,糖漿,179
318,海菜菇蕈中藥,I,秀珍菇,179
319,調味料,K,黃芥末醬,179
320,蔬菜類,G,醬瓜,176
321,其他,L,香鬆,175
322,蔬菜類,G,綠竹筍,174
323,蔬菜類,G,豌豆芽,174
324,海鮮類,F,櫻花蝦,174
325,其他,L,布丁,174
326,調味料,K,果醋,173
327,海菜菇蕈中藥,I,丁香,172
328,蛋_豆_奶_豆製品類,H,綠豆,171
329,雞肉,C,棒棒腿,171
330,蛋_豆_奶_豆製品類,H,蓮子,170
331,澱粉,J,薏仁,166
332,澱粉,J,塔皮,165
333,蔬菜類,G,龍眼乾,165
334,海鮮類,F,魚板,165
335,蔬菜類,G,甜豆,165
336,蔬菜類,G,蓮藕,165
337,蔬菜類,G,柚子,164
338,調味料,K,高梁酒,163
339,調味料,K,甜辣醬,163
340,調味料,K,炸醬,162
341,調味料,K,巧克力醬,162
342,澱粉,J,酒釀,162
343,調味料,K,酒釀,162
344,調味料,K,椰粉,161
345,蔬菜類,G,萵苣,161
346,牛肉,A,牛排,161
347,蔬菜類,G,梨子,161
348,其他,L,紅豆餡,161
349,其他,L,海鮮,160
350,雞肉,C,雞腿排,160
351,澱粉,J,湯圓,159
352,海菜菇蕈中藥,I,陳皮,158
353,蔬菜類,G,節瓜,158
354,牛肉,A,牛腱,157
355,蔬菜類,G,萊姆,157
356,澱粉,J,壽司,157
357,調味料,K,楓糖,156
358,豬肉,B,豬腳,156
359,牛肉,A,牛腩,154
360,蔬菜類,G,橘子,154
361,調味料,K,白蘭地,153
362,蛋_豆_奶_豆製品類,H,馬茲拉起司,152
363,豬肉,B,五花豬肉片,151
364,調味料,K,香菇精,151
365,蔬菜類,G,酪梨,148
366,其他,L,諾鈣C發泡錠,147
367,豬肉,B,松阪豬,146
368,海鮮類,F,蝦皮,146
369,海鮮類,F,蝦皮,146
370,調味料,K,塔塔粉,146
371,牛肉,A,牛肋排,145
372,豬肉,B,豬瘦肉,144
373,澱粉,J,餅乾,144
374,蛋_豆_奶_豆製品類,H,油豆腐,144
375,其他,L,汽水,143
376,海鮮類,F,鱸魚,143
377,調味料,K,白醬,142
378,海鮮類,F,魚漿,142
379,其他,L,壽喜燒,142
380,蔬菜類,G,紫蘇,141
381,調味料,K,紫蘇,141
382,其他,L,綿花糖,140
383,澱粉,J,隔夜飯,140
384,蔬菜類,G,三色蔬菜,138
385,蔬菜類,G,葡萄,138
386,澱粉,J,糙米,138
387,蛋_豆_奶_豆製品類,H,蛋豆腐,137
388,海鮮類,F,柴魚,136
389,澱粉,J,泡麵,136
390,蔬菜類,G,金桔,136
391,蛋_豆_奶_豆製品類,H,腰果,135
392,其他,L,綠茶,133
393,蔬菜類,G,金針花,131
394,豬肉,B,臘腸,131
395,調味料,K,卡士達粉,131
396,豬肉,B,豬排,130
397,蛋_豆_奶_豆製品類,H,優酪乳,130
398,蔬菜類,G,檸檬葉,130
399,調味料,K,檸檬葉,130
400,澱粉,J,紫米,129
401,蔬菜類,G,龍眼,128
402,蔬菜類,G,梅子,128
403,海菜菇蕈中藥,I,混合菇,128
404,蔬菜類,G,覆盆子,126
405,蛋_豆_奶_豆製品類,H,黃豆,126
406,調味料,K,咖哩醬,126
407,海鮮類,F,虱目魚,126
408,海鮮類,F,蟹肉,123
409,豬肉,B,梅花肉片,123
410,調味料,K,炸粉,123
411,海鮮類,F,蟹腳,121
412,澱粉,J,法國麵包,121
413,海鮮類,F,魚丸,121
414,蔬菜類,G,話梅,121
415,其他,L,話梅,121
416,調味料,K,黑芝麻粉,120
417,海鮮類,F,小魚乾,120
418,調味料,K,洋菜粉,119
419,澱粉,J,餛飩皮,119
420,調味料,K,酸奶油,117
421,雞肉,C,雞骨,117
422,調味料,K,荳蔻粉,117
423,調味料,K,酸辣醬,116
424,蔬菜類,G,青木瓜,116
425,調味料,K,孜然,116
426,豬肉,B,豬大腸,115
427,調味料,K,啤酒,113
428,調味料,K,奧勒岡,113
429,調味料,K,義大利醬,112
430,調味料,K,青醬,112
431,豬肉,B,豬後腿肉,111
432,其他,L,茶葉,111
433,海菜菇蕈中藥,I,樹子,110
434,蔬菜類,G,韭菜花,110
435,其他,L,水餃,110
436,蛋_豆_奶_豆製品類,H,黑豆,109
437,蔬菜類,G,苜蓿芽,109
438,調味料,K,酸豆,109
439,海鮮類,F,魚卵,109
440,蔬菜類,G,黃豆芽,109
441,調味料,K,酥油,108
442,調味料,K,鮮雞晶,108
443,調味料,K,玫瑰花,107
444,調味料,K,伍斯特醬,107
445,羊,D,羊肉,106
446,海鮮類,F,鯖魚,105
447,豬肉,B,豬骨,105
448,蔬菜類,G,白花椰菜,105
449,海鮮類,F,螃蟹,105
450,海菜菇蕈中藥,I,草菇,105
451,海菜菇蕈中藥,I,白木耳,105
452,其他,L,叉燒肉,105
453,豬肉,B,豬里肌肉片,104
454,調味料,K,椰糖,104
455,調味料,K,洛神花,104
456,蛋_豆_奶_豆製品類,H,豆沙,104
457,澱粉,J,油條,104
458,調味料,K,老抽,102
459,海菜菇蕈中藥,I,蔘鬚,102
460,澱粉,J,麥粉,102
461,牛肉,A,牛小排,102
462,海鮮類,F,鰻魚,101
463,其他肉類,E,鴨血,101
464,調味料,K,草果,101
465,蔬菜類,G,紫洋蔥,101
466,調味料,K,梅醬,100
467,調味料,K,吉利T,99
468,蛋_豆_奶_豆製品類,H,豆包,99
469,蔬菜類,G,銀杏,98
470,牛肉,A,牛菲力,97
471,調味料,K,紅醬,97
472,調味料,K,鮮味露,96
473,海菜菇蕈中藥,I,桂枝,96
474,豬肉,B,貢丸,96
475,澱粉,J,粉圓,96
476,澱粉,J,粉圓,96
477,調味料,K,紅酒醋,95
478,海菜菇蕈中藥,I,川芎,95
479,澱粉,J,春捲皮,93
480,蔬菜類,G,酸黃瓜,93
481,蛋_豆_奶_豆製品類,H,瑪斯卡彭起司,93
482,蛋_豆_奶_豆製品類,H,南瓜子,93
483,澱粉,J,去筋麵粉,93
484,牛肉,A,牛肉絲,92
485,海鮮類,F,甜不辣,92
486,海鮮類,F,鯷魚,91
487,羊,D,羊肉片,91
488,海鮮類,F,九孔,91
489,澱粉,J,Oreo餅乾,90
490,蔬菜類,G,果乾,90
491,蔬菜類,G,香樁,89
492,調味料,K,蕃茄糊,89
493,澱粉,J,蘿蔔糕,88
494,澱粉,J,年糕,88
495,蔬菜類,G,榨菜,87
496,蔬菜類,G,紫蘇梅,87
497,調味料,K,糖水,86
498,其他,L,裝飾糖粒,86
499,豬肉,B,豬里肌肉排,86
500,蔬菜類,G,茼蒿,86
501,調味料,K,蒜酥,86
502,蛋_豆_奶_豆製品類,H,臭豆腐,85
503,蔬菜類,G,樹薯,85
504,澱粉,J,餅皮,85
505,調味料,K,咖啡酒,84
506,雞肉,C,雞里肌肉,84
507,海鮮類,F,蝦醬,84
508,調味料,K,蝦醬,84
509,調味料,K,沙薑,84
510,其他,L,預拌粉,83
511,蔬菜類,G,火龍果,82
512,其他,L,可爾必思,81
513,調味料,K,梅子粉,81
514,其他,L,仙草,80
515,其他肉類,E,鴨,79
516,蔬菜類,G,黑棗,79
517,澱粉,J,麻糬,79
518,其他肉類,E,鴨胸,79
519,澱粉,J,穀片,79
520,豬肉,B,豬肝,79
521,豬肉,B,豬肝,79
522,蔬菜類,G,大芥菜,79
523,雞肉,C,雞腳,78
524,調味料,K,山葵,78
525,澱粉,J,通心粉,78
526,調味料,K,鬱金粉,78
527,蛋_豆_奶_豆製品類,H,鵪鶉蛋,77
528,豬肉,B,豬胛心肉,77
529,其他,L,巧克力米,77
530,調味料,K,橙酒,76
531,海菜菇蕈中藥,I,松露,76
532,蛋_豆_奶_豆製品類,H,榛果,75
533,調味料,K,嫩精,75
534,澱粉,J,玉米醬,74
535,海鮮類,F,魚餃,74
536,其他,L,雲吞,74
537,蔬菜類,G,甜菜,74
538,其他,L,米血,73
539,其他,L,肥膘,73
540,澱粉,J,粄條,72
541,蛋_豆_奶_豆製品類,H,素火腿,72
542,豬肉,B,臘肉,72
543,蔬菜類,G,甘藷葉,71
544,調味料,K,白酒醋,71
545,其他,L,蕃茄汁,70
546,其他,L,蜜餞,70
547,海菜菇蕈中藥,I,柳松菇,70
548,其他,L,蛋皮,69
549,其他,L,色素,69
550,其他,L,養樂多,69
551,調味料,K,莓醬,69
552,蔬菜類,G,雪裡紅,69
553,調味料,K,豆蔻,69
554,澱粉,J,饅頭,68
555,蔬菜類,G,水麥芽,68
556,蔬菜類,G,水麥芽,68
557,雞肉,C,烏骨雞肉,68
558,其他,L,陽春麵,67
559,蛋_豆_奶_豆製品類,H,西谷米,67
560,澱粉,J,西谷米,67
561,海菜菇蕈中藥,I,海藻,67
562,調味料,K,苦茶油,67
563,其他,L,抹茶,67
564,蔬菜類,G,葡萄柚,66
565,澱粉,J,小麥,66
566,海菜菇蕈中藥,I,舞菇,65
567,蛋_豆_奶_豆製品類,H,豆渣,65
568,海鮮類,F,丁香魚,65
569,其他,L,糖果,65
570,蔬菜類,G,芥蘭菜,65
571,海鮮類,F,比目魚,65
572,蔬菜類,G,梅菜,65
573,雞肉,C,雞丁,65
574,澱粉,J,粥,64
575,牛肉,A,沙朗牛排,64
576,澱粉,J,起酥片,64
577,調味料,K,起酥片,64
578,調味料,K,蔥油,64
579,調味料,K,紅油,64
580,蔬菜類,G,藕粉,64
581,調味料,K,藕粉,64
582,其他,L,烏龍茶,64
583,澱粉,J,河粉,63
584,調味料,K,黃豆醬,63
585,調味料,K,改良劑,63
586,調味料,K,黃豆粉,63
587,調味料,K,果膠,63
588,海鮮類,F,石斑魚,62
589,調味料,K,素高湯,62
590,海鮮類,F,黃魚,62
591,調味料,K,油醋,61
592,蔬菜類,G,桑葚,61
593,豬肉,B,蹄膀,61
594,蛋_豆_奶_豆製品類,H,葵瓜子,61
595,蔬菜類,G,山芹菜,61
596,其他,L,海綿蛋糕,61
597,其他,L,海綿蛋糕,61
598,海菜菇蕈中藥,I,海菜,61
599,蔬菜類,G,冷凍蔬菜,61
600,其他,L,麻辣鍋底,60
601,調味料,K,橙皮,60
602,蔬菜類,G,紫高麗菜,60
603,豬肉,B,豬皮,60
604,澱粉,J,小米,60
605,海鮮類,F,旗魚,60
606,羊,D,羊排,59
607,澱粉,J,貝果,59
608,其他,L,梅子汁,58
609,其他,L,果汁,58
610,其他,L,炸雞,57
611,其他,L,炸雞,57
612,調味料,K,乳化劑,57
613,其他,L,果泥,57
614,海鮮類,F,海參,57
615,調味料,K,油蔥,56
616,其他,L,肉餡,56
617,蔬菜類,G,芭樂,55
618,海鮮類,F,鮑魚,55
619,澱粉,J,漢堡麵包,55
620,海菜菇蕈中藥,I,鮑魚菇,55
621,海菜菇蕈中藥,I,鮑魚菇,55
622,其他,L,芋泥,55
623,其他,L,巧克磚,55
624,蛋_豆_奶_豆製品類,H,五香豆,55
625,調味料,K,照燒醬,54
626,調味料,K,卡士達醬,54
627,澱粉,J,大麥,54
628,蔬菜類,G,哈密瓜,54
629,澱粉,J,蕎麥麵,54
630,雞肉,C,雞柳,54
631,蛋_豆_奶_豆製品類,H,切達起司,54
632,調味料,K,百合,54
633,豬肉,B,豬肉丁,53
634,調味料,K,蘑菇醬,53
635,其他,L,紅色色素,53
636,其他,L,雞精,53
637,蛋_豆_奶_豆製品類,H,鷹嘴豆,53
638,蔬菜類,G,木瓜,53
639,其他,L,茶包,53
640,調味料,K,桂花,52
641,調味料,K,糯米醋,52
642,調味料,K,糖醋醬,52
643,海鮮類,F,章魚,52
644,蔬菜類,G,西瓜,52
645,其他,L,粉蒸肉粉,51
646,澱粉,J,玉米脆片,51
647,調味料,K,荷葉,51
648,其他,L,蔥油餅,51
649,海菜菇蕈中藥,I,人蔘,51
650,蛋_豆_奶_豆製品類,H,豆酥碎,51
651,蛋_豆_奶_豆製品類,H,百頁豆腐,50
652,調味料,K,薰衣草,50
653,蔬菜類,G,瓠瓜,50
654,蛋_豆_奶_豆製品類,H,焗烤起司,50
655,蔬菜類,G,沙拉筍塊,50
656,豬肉,B,豬肚,50
657,蔬菜類,G,豇豆,50
658,蛋_豆_奶_豆製品類,H,素肉,49
659,海鮮類,F,明太子,49
660,澱粉,J,手指餅乾,49
661,調味料,K,奶油白醬,49
662,海鮮類,F,海瓜子,49
663,調味料,K,番紅花,49
664,調味料,K,香醋,48
665,海鮮類,F,龍蝦,48
666,調味料,K,鹽麴,48
667,調味料,K,米霖,48
668,海鮮類,F,吳郭魚,47
669,澱粉,J,脆漿粉,47
670,牛肉,A,牛骨,47
671,其他肉類,E,鴨肉,47
672,海鮮類,F,蜆,47
673,海鮮類,F,草魚,47
674,雞肉,C,雞胗,46
675,蔬菜類,G,番石榴,46
676,海鮮類,F,秋刀魚,46
677,海菜菇蕈中藥,I,熟地,46
678,蔬菜類,G,大頭菜,46
679,其他,L,燻雞,46
680,調味料,K,焦糖,45
681,調味料,K,薤,45
682,海菜菇蕈中藥,I,洋菜,45
683,澱粉,J,意麵,45
684,調味料,K,紅糟醬,45
685,蔬菜類,G,莧菜,45
686,蛋_豆_奶_豆製品類,H,胚芽,45
687,海鮮類,F,鯧魚,45
688,雞肉,C,雞肉絲,45
689,蔬菜類,G,冬菜,44
690,海鮮類,F,香魚,44
691,蔬菜類,G,甘蔗,44
692,調味料,K,乳瑪琳,44
693,調味料,K,千島醬,44
694,海菜菇蕈中藥,I,淮山,44
695,海鮮類,F,魚皮,43
696,蔬菜類,G,A菜,43
697,蔬菜類,G,福菜,43
698,蛋_豆_奶_豆製品類,H,開心果,43
699,其他,L,剉冰,43
700,其他肉類,E,螺肉,43
701,豬肉,B,豬肉條,43
702,調味料,K,海山醬,42
703,其他,L,滷蛋,42
704,澱粉,J,湯種,42
705,海菜菇蕈中藥,I,竹笙,42
706,蛋_豆_奶_豆製品類,H,夏威夷豆,42
707,海鮮類,F,蟳,42
708,其他,L,炒飯,42
709,其他,L,炒飯,42
710,調味料,K,焦糖醬,41
711,蔬菜類,G,椰子,41
712,海鮮類,F,竹輪,41
713,蛋_豆_奶_豆製品類,H,凍豆腐,41
714,其他,L,康寶濃湯,41
715,牛肉,A,牛筋,41
716,蛋_豆_奶_豆製品類,H,奶精,41
717,豬肉,B,豬大腸頭,41
718,其他,L,漢堡,40
719,蔬菜類,G,龍鬚菜,40
720,澱粉,J,雞蛋麵,40
721,蔬菜類,G,莓果,40
722,蔬菜類,G,桂竹筍,40
723,調味料,K,壽喜燒醬,40
724,蛋_豆_奶_豆製品類,H,豆花,40
725,海鮮類,F,烏魚子,39
726,蔬菜類,G,杏桃,39
727,蔬菜類,G,大陸妹,39
728,牛肉,A,牛五花肉,39
729,澱粉,J,蕎麥,39
730,蔬菜類,G,娃娃菜,39
731,豬肉,B,豬腱子肉,38
732,海鮮類,F,土魠魚,38
733,海鮮類,F,魚肚,38
734,調味料,K,甘草粉,37
735,其他,L,三明治,37
736,其他,L,蘋果汁,37
737,蔬菜類,G,麻竹筍,37
738,蛋_豆_奶_豆製品類,H,米豆,37
739,其他,L,鹹豬肉,37
740,牛肉,A,牛肚,37
741,澱粉,J,蘇打餅,36
742,海鮮類,F,扇貝,36
743,雞肉,C,雞油,36
744,調味料,K,黃薑粉,36
745,調味料,K,凱薩醬,36
746,蔬菜類,G,荔枝,36
747,海鮮類,F,蝦卵,36
748,其他,L,泡菜汁,36
749,蔬菜類,G,青蘋果,36
750,其他,L,鳳梨汁,36
751,海菜菇蕈中藥,I,藥燉包,35
752,其他,L,蝦餃,35
753,海菜菇蕈中藥,I,黨參,35
754,海菜菇蕈中藥,I,黨參,35
755,調味料,K,清湯,34
756,澱粉,J,粿,34
757,調味料,K,威士忌,34
758,其他,L,牛肉湯,34
759,其他肉類,E,鴨腿,34
760,蔬菜類,G,脆梅,34
761,其他,L,熟蛋,34
762,豬肉,B,豬血,34
763,調味料,K,五味醬,33
764,豬肉,B,肝腸,33
765,海鮮類,F,鮭魚卵,33
766,調味料,K,出汁,33
767,雞肉,C,雞心,33
768,澱粉,J,高梁,33
769,海鮮類,F,魚鬆,33
770,蔬菜類,G,棗子,33
771,調味料,K,菊花,32
772,蔬菜類,G,荷蘭豆,32
773,調味料,K,桂花醬,32
774,調味料,K,調味粉包,32
